t,average_score
149,-152.8514799684789
150,-154.50807009737727
151,-151.3790280632228
152,-147.8883889918621
153,-148.23239878951793
154,-148.67772719906534
155,-146.10470528671792
156,-145.6089358511126
157,-142.2426208185865
158,-138.9567843984719
159,-138.67561546598222
160,-136.57995917835396
161,-132.3395173376868
162,-132.18100474473366
163,-131.513596249169
164,-129.15811749486633
165,-123.77772843419483
166,-123.06332635343324
167,-121.57090836105583
168,-122.38688326401788
169,-118.33825271900727
170,-116.67010000118199
171,-114.82323383454055
172,-114.23089364568112
173,-114.77275214235131
174,-114.13027588607314
175,-111.87661318182127
176,-111.38326881482479
177,-108.61135487028172
178,-107.1139618023002
179,-105.18129256884818
180,-104.84299379406237
181,-103.2534289428741
182,-100.72459943620511
183,-100.36491249729431
184,-99.34990343662633
185,-98.57578433040686
186,-99.08653617886955
187,-98.29455785535406
188,-96.75633162287245
189,-92.92662513649931
190,-93.4819456885999
191,-92.66325838852131
192,-92.6526072366565
193,-93.94835097016819
194,-90.24111430650002
195,-90.57325815258842
196,-90.2321790538772
197,-89.54705515473563
198,-88.0687085578813
199,-85.99067065289242
200,-86.68633880532452
201,-85.47186744460483
202,-85.36342286102264
203,-83.93533001152431
204,-81.92843559895246
205,-80.39446562930634
206,-81.43710240022672
207,-82.17053525420397
208,-82.22154951078795
209,-81.17335168501745
210,-79.4952012381753
211,-80.24326092237428
212,-79.29697988439887
213,-76.66176928949155
214,-76.96087284869604
215,-77.74524575160284
216,-78.60950904913572
217,-76.30293575605076
218,-75.14532541965696
219,-76.4380332734123
220,-76.2273557723451
221,-75.33883123622506
222,-76.19413271146165
223,-76.65444377413452
224,-76.27488473434033
225,-78.94885408954433
226,-79.14729204571537
227,-79.66351993209213
228,-79.05985223383858
229,-77.61440969660053
230,-78.59549125963285
231,-79.29958968237446
232,-79.9411996660179
233,-81.72030168055078
234,-81.93126957931008
235,-81.42484018679752
236,-83.64337736976202
237,-85.02083903142344
238,-84.8549667704961
239,-84.94814598407585
240,-84.08049296970273
241,-83.35744899330149
242,-81.8823082045901
243,-81.51869275801184
244,-82.74346290809105
245,-83.57049447280343
246,-83.6337137353953
247,-84.36019722758108
248,-85.2723731758272
249,-85.46800555330292
250,-83.59634475130315
251,-85.23823217016238
252,-87.83901976133062
253,-87.18582532709324
254,-85.6872942433716
255,-85.96483668572847
256,-85.83388470048442
257,-87.13817584356549
258,-88.74759355580545
259,-88.14573856337464
260,-88.42474761533782
261,-89.45275944668597
262,-89.49703614109804
263,-89.92618072773556
264,-91.35596130293476
265,-91.92164332332108
266,-92.71339040272993
267,-92.72243633653184
268,-92.00796571323019
269,-94.64841312230627
270,-95.67816294273615
271,-96.728375327219
272,-96.86681086995738
273,-96.07725701391904
274,-96.61700769046587
275,-95.86471069220217
276,-96.76771102831285
277,-98.64638217390302
278,-98.25120743620327
279,-99.57723927371637
280,-101.00239131303333
281,-101.61607056831261
282,-103.05816932091497
283,-103.59589455947322
284,-106.04440437714395
285,-105.21323522358522
286,-104.43472889024493
287,-105.0775948097753
288,-106.4893474533647
289,-107.2116125349883
290,-107.3589966824333
291,-109.07890953280906
292,-109.8650041502571
293,-109.05982795653759
294,-110.47987076173966
295,-111.08296270631392
296,-111.87062570327666
297,-111.69411822859321
298,-112.39316433569009
299,-113.84338218181306
300,-114.53667997015647
301,-115.44020754777824
302,-116.51666331625368
303,-118.00381282279885
304,-118.92063066607874
305,-119.60947012723345
306,-119.01229092276155
307,-120.6560718272717
308,-121.36219074577728
309,-121.11007741124082
310,-122.70555750000473
311,-123.0328620881593
312,-124.60325147070093
313,-124.61099542207855
314,-124.75806568186493
315,-124.98871969478722
316,-125.32383743607846
317,-127.0975524514808
318,-127.49036126946437
319,-127.61016445192462
320,-127.90194010631741
321,-128.84718795245053
322,-129.45684463010627
323,-129.86729291753298
324,-129.3285770355188
325,-130.44830291012698
326,-130.5249414535388
327,-130.08743245449787
328,-131.32080356773716
329,-131.55018040028276
330,-131.253224094759
331,-130.6476579138221
332,-131.36897350860548
333,-132.47927453776825
334,-132.56022105165366
335,-132.77608888601446
336,-133.4585507532997
337,-133.31882292371284
338,-133.6937442749207
339,-134.49879604997443
340,-136.28329790780288
341,-137.2739300564559
342,-138.25268214312547
343,-138.80068538439323
344,-140.22077556246336
345,-140.22026234423717
346,-141.04283519386766
347,-141.5581091593045
348,-143.10939145065075
349,-144.1451688382174
350,-144.6081358213784
351,-144.8206832039887
352,-144.95585410604252
353,-146.22424809257433
354,-147.10348111300814
355,-147.63803187980008
356,-147.9322659540964
357,-148.7294159440484
358,-148.63383516615954
359,-149.01698791866272
360,-149.35703357062127
361,-149.50863625810769
362,-150.06450224391293
363,-150.4751385653447
364,-150.4801736142663
365,-152.20689295048524
366,-152.0961548973939
367,-152.3992967430017
368,-152.2855437659933
369,-153.22554226241368
370,-153.13085500750168
371,-153.043136590831
372,-152.23516580344605
373,-152.49011414431962
374,-151.51038994246304
375,-151.2029489874803
376,-151.42603014305539
377,-150.9139386314214
378,-150.520483707183
379,-150.6134003157089
380,-149.92062955668
381,-148.28419002611017
382,-148.49216345147212
383,-147.97758833531876
384,-146.70499215753526
385,-146.78000040337253
386,-146.8198924388566
387,-146.76086871826993
388,-145.99977663603642
389,-146.4710836892067
390,-147.57491613736286
391,-146.96593732569778
392,-147.21846658246224
393,-147.0017015453261
394,-146.4593236829349
395,-146.50476000954404
396,-146.89268550888085
397,-146.00588362029686
398,-145.60209038196052
399,-145.34179147148822
400,-145.01779819545985
401,-144.55362581120644
402,-143.65520944834384
403,-142.19530624628806
404,-142.69674333445312
405,-141.9142765446177
406,-142.45835686039277
407,-141.9062770792199
408,-142.37630776651233
409,-141.66644321319714
410,-140.268670122345
411,-140.28755664924077
412,-139.25173286013487
413,-138.90026002227845
414,-139.0457570123515
415,-138.84125594538972
416,-138.73038954427545
417,-137.65963117776124
418,-137.88511245128421
419,-138.40214716158033
420,-138.0964418390591
421,-137.33320423996238
422,-137.62035656876162
423,-138.1586882169235
424,-138.74160431462673
425,-137.80865158089136
426,-137.42092215179153
427,-137.27439520920316
428,-136.97914241919304
429,-137.15488633726326
430,-137.427534829114
431,-138.38935228511286
432,-138.30799134875883
433,-137.6900847489104
434,-136.9021274698678
435,-136.32064624403642
436,-135.93180050560989
437,-136.2133085259112
438,-135.69971938735756
