t,avg_high,avg_score,score,avg_low
470,-172.19560032436127,-192.81659749153118,-250.01770676204717,-228.84126444654518
480,-179.218785089982,-242.42744798056862,-545.4670674900336,-242.42744798056862
490,-185.88511646490676,-245.88209883922954,-241.45241742324438,-245.88209883922954
500,-186.26807949661435,-224.1814196356646,-43.23288709866827,-245.6650920471939
510,-186.47287798692204,-206.74792852738287,-64.75468992016746,-245.2759204119958
520,-186.67815135070182,-207.0002143648988,-160.36295564749906,-244.89316335152483
530,-186.7328834210842,-192.15135838894105,-73.0257640421342,-244.36574530189898
540,-186.7889506174496,-192.33960305762236,-281.48299332613135,-243.84548387945622
550,-180.9051206711541,-180.9051206711541,-87.44923826828906,-237.55144755862602
560,-169.74728211858098,-169.74728211858098,1.057275003937633,-230.7710310146215
570,-165.85656861826615,-165.85656861826615,-282.5279639142014,-224.27958477498598
580,-166.22808987765188,-203.00869455683792,-422.6223169307041,-224.0668758728045
590,-166.6405478417918,-207.4738862916438,-324.5030885130381,-223.9009459769929
600,-166.8574122699108,-188.3269906536929,-58.77379509104176,-223.54520642375988
610,-166.94021829630543,-175.13801490937294,-55.21556362299725,-223.06113450861602
620,-167.2370388187663,-196.62227054239335,-505.1007240357491,-222.7967458689538
630,-167.41531847950026,-185.06500489215995,-92.86307784003174,-222.41942845918587
640,-167.43189319210347,-169.07278973982233,-130.8004584307394,-221.88596207199222
650,-163.17288218237047,-163.17288218237047,-81.22613368300259,-216.01465408303005
660,-163.23914293348886,-169.79895729420903,-287.04647317396984,-215.55249711514185
670,-154.15299118601925,-154.15299118601925,18.06585169073428,-209.41254652222958
680,-154.16652096642224,-155.50596922631803,-155.04649735842872,-208.87348074927047
690,-151.35872736757582,-151.35872736757582,-65.61289672541409,-203.12200541110101
700,-150.5705928860334,-150.5705928860334,-183.95043328442267,-197.86686415859424
710,-150.58317594083334,-151.82889836602715,-199.48530407697086,-197.40648450066857
720,-148.57924490643433,-148.57924490643433,-122.49110740297775,-192.52376054124514
730,-138.34762240942285,-138.34762240942285,2.7429030434971855,-187.10614672806292
740,-138.39518956749498,-143.10433821663676,-193.62693828741357,-186.66612864294865
750,-133.41436408585432,-133.41436408585432,-80.08718055079508,-181.34095218723922
760,-133.45803690666304,-137.78164616672578,-227.07747722993275,-180.9053591270341
770,-133.4670228474056,-134.3566309809174,-168.36329068445178,-180.43987184557292
780,-132.6897588454662,-132.6897588454662,-106.82333502578109,-175.66486054556225
790,-132.73131356515165,-136.84523081401184,-134.2371627720416,-175.27666424824673
